Latitude,Longitude,VSA_BPL,,,,,,
39.750273,-105.001067,145.8406485,,,,,,
39.750307,-105.001083,148.6415491,,,,,,
39.750345,-105.001082,151.6858413,,,,,,
39.750422,-105.001027,151.1762295,,,,,,
39.750462,-105.000978,149.1449817,,,,,,
39.750505,-105.000922,151.9603622,,,,,,
39.750553,-105.00086,150.5339144,,,,,,
39.750603,-105.000792,146.278295,,,,,,
39.750657,-105.000722,149.4134409,,,,,,
39.750708,-105.000652,150.5169143,,,,,,
39.75076,-105.000582,152.7875907,,,,,,
39.750812,-105.000512,153.408473,,,,,,
39.750865,-105.000443,153.0492504,,,,,,
39.750917,-105.000373,154.102928,,,,,,
39.750968,-105.000308,153.91389,,,,,,
39.751015,-105.00025,151.8506683,,,,,,
39.751057,-105.000198,152.7716588,,,,,,
39.751092,-105.000157,153.3604708,,,,,,
39.751115,-105.000127,155.3961958,,,,,,
39.751128,-105.00011,156.4797253,,,,,,
39.751135,-105.000105,155.0841955,,,,,,
39.751137,-105.000103,154.5711859,,,,,,
39.751138,-105.000102,158.9815896,,,,,,
39.75114,-105.000102,157.7228857,,,,,,
39.751142,-105.0001,156.4722925,,,,,,
39.751145,-105.000098,154.569758,,,,,,
39.751147,-105.000098,155.0129221,,,,,,
39.751148,-105.000097,155.961603,,,,,,
39.75115,-105.000095,156.2104144,,,,,,
39.751152,-105.000093,155.4818379,,,,,,
39.751153,-105.000093,158.7164956,,,,,,
39.751155,-105.000092,163.0623099,,,,,,
39.751155,-105.00009,158.3321257,,,,,,
39.751157,-105.00009,155.7161857,,,,,,
39.751158,-105.000088,156.2052078,,,,,,
39.751158,-105.000087,157.1040012,,,,,,
39.75116,-105.000087,158.849049,,,,,,
39.751162,-105.000085,157.5111778,,,,,,
39.751162,-105.000083,157.1048164,,,,,,
39.751163,-105.000083,156.478028,,,,,,
39.751165,-105.000083,159.1982779,,,,,,
39.751167,-105.000085,160.7111665,,,,,,
39.751168,-105.000085,163.1087421,,,,,,
