Distance,Measured,Free Space loss Predicted,ITM Predicted,DNN Predicted,ITM Squared Error,DNN Squared Error,Free Space Loss Squared Error,,,,,,
10966.3789234362,144.9403737,124.1326258484,155.1459274862,146.273,104.1533280836,1.7732286029,432.9623706564,,,,,,
10966.4306802237,138.8758991,124.1326668421,155.1380704148,146.272,264.4582158732,54.628372514,217.3628974102,,,,,,
10966.0315859335,141.1617892,124.1323507363,155.1771227221,146.267,196.4295737352,26.124475842,290.0017743878,,,,,,
10965.1609999969,146.152482,124.131661142,155.2198803917,146.273,82.2177135944,0.0117761563,484.9165512614,,,,,,
10963.3628242595,144.3167173,124.1302366269,155.257788967,146.261,119.7070492232,3.7491906943,407.4940019643,,,,,,
10960.9221135434,141.2201742,124.1283027218,155.3328632399,146.253,199.167991938,25.0182613335,292.1320706288,,,,,,
10955.0613305192,142.5329574,124.1236571519,155.4967347525,146.222,168.0595232459,13.7273406678,338.9023356237,,,,,,
10951.9780829357,141.3565042,124.1212122074,155.581336765,146.238,202.3458615037,24.0148590858,297.0552900713,,,,,,
10948.6409182339,145.4870754,124.1185651366,155.6297712465,146.257,102.8742790339,0.4732402553,456.6132308785,,,,,,
10945.1068458081,145.5567766,124.1157609969,155.6967519024,146.175,102.819099134,0.3638784703,459.7171500926,,,,,,
10937.5049938909,146.0812724,124.1097261735,155.7846514847,146.16,94.1555656619,0.0048619382,482.7488435853,,,,,,
10933.717045694,145.5250117,124.1067174984,155.8416602002,146.151,106.4332362757,0.3794415857,458.7433265073,,,,,,
10927.2656322129,144.293498,124.1015908974,156.0051749807,146.141,137.1633777003,3.420657648,407.7131124384,,,,,,
10923.6176357345,145.4827218,124.0986906856,156.1257390007,146.143,113.2738151352,0.4372888578,457.2767867013,,,,,,
10922.9699401094,145.6169975,124.0981756566,156.1427376391,146.144,110.791205475,0.27667863,463.0596935263,,,,,,
10922.7989772537,146.021235,124.0980397068,156.1426781168,146.143,102.4436107657,0.0148267152,480.6264918642,,,,,,
10922.7989772537,146.1819342,124.0980397068,156.1426781168,146.143,99.2164193752,0.0013641351,487.6983959872,,,,,,
10922.8508598795,147.5337605,124.0980809641,156.1426961802,146.145,74.1137735452,1.9314342474,549.2310753077,,,,,,
10922.7938746217,145.4822227,124.0980356491,156.1426763402,146.144,113.6452718154,0.4366266402,457.2834558262,,,,,,
10922.8768037978,146.1560871,124.0981015948,156.1427052128,146.143,99.7325413305,0.0002276206,486.5547245473,,,,,,
10922.7628352696,146.1305182,124.0980109664,156.1605905301,146.141,100.602350947,0.0001098681,485.4313749998,,,,,,
10922.8147315428,145.0524561,124.0980522347,156.1606085544,146.141,123.3910509506,1.18710591,439.0870413498,,,,,,
10922.9805968435,145.4849639,124.0981841308,156.1535491897,146.142,113.8187120846,0.4290722923,457.3943488956,,,,,,
10922.9236156174,146.0969008,124.0981388196,156.1535293369,146.14,101.1357775297,0.001857541,483.9455286719,,,,,,
10922.9236156174,144.819099,124.0981388196,156.1535293369,146.14,128.4693110627,1.7421386498,429.3581907992,,,,,,
10922.8925889819,140.9161263,124.0981141472,156.1535185269,146.139,232.1781218778,27.3306634232,282.8455327716,,,,,,
10922.6387151016,143.2106947,124.0979122642,156.1534300749,146.144,167.5143989843,8.6160172042,365.2984524375,,,,,,
10921.5453526053,143.2351618,124.0970427581,156.1806148396,146.146,167.5847544001,8.3800882042,366.2676004624,,,,,,
10919.3276112543,143.5298482,124.0952788124,156.2266376597,146.13,161.2084625832,6.6933544362,377.7024872808,,,,,,
10911.5031750645,143.9648077,124.0890525544,156.1406501991,146.117,148.2511405631,4.5121929274,395.0456426062,,,,,,
10906.4251467944,142.1106165,124.085009348,156.344115469,146.089,202.592492901,15.3145704181,324.9225131975,,,,,,
10900.9583825648,141.603126,124.0806545191,156.605462301,146.024,225.0700944878,19.3764947119,307.0370067974,,,,,,
10895.1548276276,141.0254404,124.076029012,156.6941204769,146.005,245.5075353523,24.6766483796,287.2825464003,,,,,,
10881.6668929401,142.616718,124.065269432,155.6342665555,145.993,169.4565703949,11.3588007595,344.1562439698,,,,,,
10874.0394959797,141.1030951,124.0591790087,155.8734575556,145.987,218.1636070699,23.764697784,290.4950757273,,,,,,
10866.1892474994,143.4246725,124.0529061773,156.2118550983,145.978,163.5120388014,6.4481841523,375.2653304618,,,,,,
10858.1161369428,140.7781091,124.046450537,156.4619472042,145.964,245.9827776789,25.7849759923,279.9483982689,,,,,,
10841.9390425557,145.1484323,124.0335001107,157.0186723712,145.856,140.9025993477,0.4907951023,445.8403613584,,,,,,
10833.7521006185,141.0110357,124.0269387626,157.3166342256,145.849,265.872543279,23.5221537113,288.459548779,,,,,,
10825.5651860139,138.7346125,124.0203724762,157.4542492138,145.861,350.4247986968,49.2296935502,216.5088594776,,,,,,
10808.9849476202,141.1115055,124.0070591281,158.0330565809,145.751,286.3388909833,21.3027894795,292.5620856906,,,,,,
10800.8763623355,141.1221132,124.0005407817,158.3445356356,145.727,296.6118345496,21.039530516,293.1482420745,,,,,,
10793.3275532509,142.9397702,123.9944680295,158.7168067989,145.709,248.9148838421,7.5857817912,358.924474333,,,,,,
10786.4784546954,141.1818356,123.9889544937,158.7967985241,145.694,310.2869188161,20.2784896134,295.5951607357,,,,,,
10780.7395147963,142.9696527,123.9843319411,158.9340777168,145.685,254.8628661186,7.3785426542,360.4424043188,,,,,,
10772.9913153987,150.8411787,123.9780870818,159.1695798123,145.686,69.3622650865,26.4728638549,721.6256912862,,,,,,
10771.4089132601,153.3571502,123.9768111521,159.3211528146,145.696,35.5693271869,59.1384100986,863.2043225695,,,,,,
10771.0806342085,153.8963127,123.9765464292,159.5842247552,145.667,32.3523435473,68.0676596478,895.1924137018,,,,,,
10771.2816045979,154.1112557,123.9767084919,159.6053696753,145.646,30.1852883732,72.0844418514,908.0909354401,,,,,,
10772.3526971712,152.4194115,123.9775721708,159.6846092793,145.621,52.7830987721,46.1096883393,808.938224427,,,,,,
10772.7249205854,146.8629403,123.9778722943,159.6623429967,145.629,163.8247093913,1.4663764102,523.7263376271,,,,,,
10773.2967271042,146.0549286,123.9783333212,159.6688378164,145.652,185.338524153,0.1295485971,487.3760591032,,,,,,
10773.9018225383,149.3914455,123.9788211612,159.9488649784,145.695,111.4591060429,13.9386153015,645.8014757866,,,,,,
10775.027096489,151.547524,123.9797283065,159.9784141902,145.658,71.0799093998,34.9342939546,759.9833593974,,,,,,
10775.4966730371,151.8008764,123.98010683,159.999641235,145.637,67.2197448189,38.0797155441,773.9952194647,,,,,,
10775.9200717319,151.9745171,123.9804481157,160.1075257681,145.63,66.1458299949,40.1641229928,783.6678982997,,,,,,
10776.7380814091,152.13671,123.9811074442,160.0847942101,145.637,63.1720426113,41.9218695841,792.7379552775,,,,,,
10778.459414442,150.905759,123.9824947021,159.9989728346,145.662,82.6865378409,27.4865219321,724.8621604531,,,,,,
10779.027479308,151.4490099,123.9829524687,160.0061439285,145.663,73.2245427822,33.4779105629,754.384310818,,,,,,
10778.7306956567,151.8306071,123.9827133131,159.9454487356,145.663,65.8506547712,38.0887341968,775.5051883688,,,,,,
10778.773653077,150.7403619,123.9827479296,159.8449563188,145.659,82.8936395301,25.8710773778,715.9699053875,,,,,,
10779.2649264906,150.9547128,123.9831438048,159.5862904849,145.654,74.5041333312,28.0869557625,727.4655340602,,,,,,
10779.4593130011,152.7700816,123.9833004393,159.7603734219,145.655,48.8641797547,50.6813228275,828.6787695924,,,,,,
10779.5698751878,151.2263107,123.9833895278,159.6740340864,145.651,71.3640304127,31.0060840517,742.1767539924,,,,,,
10782.252997097,151.3027423,123.9855512468,159.8781948315,145.658,73.5383861202,31.761591272,746.2289270356,,,,,,
10785.135008897,146.2221469,123.9878726069,159.9405916639,145.667,188.1957267414,0.2960958488,494.3629533413,,,,,,
10788.7175978355,146.6163958,123.9907573927,159.9425426221,145.678,177.5861891234,0.8730955111,511.9195133359,,,,,,
10793.3656216584,147.985786,123.9944986648,160.089991933,145.682,146.5118012692,5.1883090618,575.5818679994,,,,,,
10799.3309496287,148.1564925,123.999297897,160.1561735904,145.708,143.9923462713,5.6905744676,583.5700510893,,,,,,
10812.9153535526,145.330368,124.0102169516,159.9164577123,145.771,212.7540130965,0.1863061834,454.5488407279,,,,,,
10820.3099223963,143.9810503,124.0161548929,159.5819229087,145.762,243.3872261532,3.1611051357,398.5970486159,,,,,,
10828.096686946,147.2241985,124.0224033879,159.4255499244,145.759,148.8729765808,2.0454677494,538.3232964224,,,,,,
10835.8833162932,146.9105671,124.0286472827,159.2715914515,145.794,152.7949230187,1.0703290844,523.5822545237,,,,,,
10851.4002302916,147.0705059,124.0410765227,159.0413758066,145.876,143.3017263213,1.4316263687,530.3546174448,,,,,,
10858.3745571952,145.3550389,124.0466572564,158.9344606714,145.874,184.400695645,0.2662158567,454.0471282701,,,,,,
10864.1726543167,146.3358491,124.0512940637,159.1048785585,145.871,163.0481133127,0.2133045912,496.601393166,,,,,,
10868.5982877066,154.0987572,124.0548316304,158.9310589402,145.874,23.351140108,67.400113283,902.63746363,,,,,,
10873.4159436811,144.5967053,124.0586809177,158.5765714069,145.889,195.436656368,1.6829735386,421.81044553,,,,,,
10874.1161539184,145.6385858,124.0592402408,158.5767997391,145.894,167.3973799327,0.0617096148,465.6681547642,,,,,,
